Eurex.Bund
Eurex.Bund
ora	high	low	open	close	volume
03032026 010000	129,63	129,47	129,61	129,49	2149
03032026 020000	129,51	129,44	129,49	129,47	2901
03032026 030000	129,53	129,46	129,46	129,50	1324
03032026 040000	129,50	129,44	129,50	129,44	1217
03032026 050000	129,44	129,31	129,44	129,33	4120
03032026 060000	129,34	129,27	129,33	129,27	2837
03032026 070000	129,31	129,22	129,26	129,29	8099
03032026 080000	129,32	129,03	129,30	129,09	103696
03032026 090000	129,14	128,91	129,08	129,09	299813
03032026 100000	129,09	128,75	129,09	128,87	232630
03032026 110000	128,87	128,66	128,86	128,80	278286
03032026 120000	128,89	128,53	128,80	128,81	278927
03032026 130000	128,98	128,68	128,80	128,89	194465
03032026 140000	128,94	128,77	128,88	128,85	175155
03032026 150000	128,90	128,67	128,84	128,80	134265
03032026 160000	129,10	128,77	128,80	128,97	180396
03032026 170000	129,29	128,89	128,97	129,18	168642
03032026 180000	129,22	129,06	129,17	129,11	34412
03032026 190000	129,32	129,07	129,11	129,27	18458
03032026 200000	129,48	129,23	129,27	129,29	15882
03032026 210000	129,33	129,19	129,29	129,22	5416
03032026 220000	129,21	129,21	129,21	129,21	4
04032026 010000	129,32	129,11	129,17	129,25	3445
04032026 020000	129,25	129,06	129,25	129,12	1897
04032026 030000	129,15	129,08	129,12	129,10	737
04032026 040000	129,17	129,07	129,11	129,12	1186
04032026 050000	129,19	129,07	129,11	129,08	1351
04032026 060000	129,08	128,97	129,08	129,02	2181
04032026 070000	129,05	128,94	129,02	128,94	3165
04032026 080000	129,13	128,82	128,94	129,13	74439
04032026 090000	129,13	128,80	129,12	128,92	142684
04032026 100000	128,99	128,82	128,93	128,89	102622
04032026 110000	129,22	128,86	128,88	129,15	186016
04032026 120000	129,25	129,09	129,15	129,13	96611
04032026 130000	129,23	129,05	129,13	129,14	63051
04032026 140000	129,22	129,04	129,13	129,08	90040
04032026 150000	129,13	128,99	129,08	129,02	105741
04032026 160000	129,12	128,99	129,02	129,12	76151
04032026 170000	129,28	129,11	129,11	129,20	70817
04032026 180000	129,21	129,10	129,19	129,16	19328
04032026 190000	129,18	129,13	129,16	129,16	3708
04032026 200000	129,18	129,09	129,17	129,09	2279
04032026 210000	129,12	129,02	129,10	129,02	3590
05032026 010000	129,05	128,99	129,03	129,02	107
05032026 020000	129,01	128,87	129,01	128,87	213
05032026 030000	128,88	128,82	128,88	128,84	52
05032026 040000	128,82	128,80	128,82	128,82	99
05032026 050000	128,84	128,81	128,84	128,81	17
05032026 060000	128,81	128,70	128,78	128,74	294
05032026 070000	128,97	128,74	128,74	128,91	1534
05032026 080000	128,93	128,78	128,93	128,80	3573
05032026 090000	128,82	128,70	128,77	128,78	5264
05032026 100000	129,01	128,74	128,77	128,82	7951
05032026 110000	128,83	128,71	128,80	128,72	6224
05032026 120000	128,80	128,61	128,73	128,65	5688
05032026 130000	128,72	128,44	128,64	128,50	5374
05032026 140000	128,54	128,42	128,51	128,47	3705
05032026 150000	128,51	128,30	128,47	128,38	6061
05032026 160000	128,45	128,26	128,38	128,37	1384
05032026 170000	128,42	128,13	128,37	128,25	2834
05032026 180000	128,28	128,18	128,25	128,19	1802
05032026 190000	128,24	128,14	128,21	128,17	67
05032026 200000	128,20	128,13	128,20	128,18	288
05032026 210000	128,30	128,14	128,15	128,30	25
06032026 010000	127,31	127,22	127,22	127,24	1603
06032026 020000	127,29	127,18	127,24	127,19	2578
06032026 030000	127,26	127,19	127,20	127,24	1549
06032026 040000	127,25	127,17	127,24	127,19	1026
06032026 050000	127,24	127,19	127,20	127,21	707
06032026 060000	127,24	127,18	127,21	127,22	1348
06032026 070000	127,26	127,16	127,22	127,20	4935
06032026 080000	127,32	127,13	127,19	127,20	86445
06032026 090000	127,24	127,01	127,20	127,05	201105
06032026 100000	127,09	126,84	127,05	127,02	264850
06032026 110000	127,21	127,00	127,02	127,14	175743
06032026 120000	127,18	127,00	127,14	127,10	165652
06032026 130000	127,14	126,96	127,09	127,05	151035
06032026 140000	127,40	126,81	127,06	126,89	265753
06032026 150000	127,01	126,81	126,90	126,94	279880
06032026 160000	127,18	126,85	126,95	127,02	244862
06032026 170000	127,11	126,86	127,02	127,04	162392
06032026 180000	127,13	126,96	127,04	127,02	59523
06032026 190000	127,23	127,02	127,02	127,11	14804
06032026 200000	127,15	126,99	127,12	126,99	9496
06032026 210000	127,03	126,94	127,00	126,97	7101
09032026 010000	126,70	126,39	126,69	126,45	19172
09032026 020000	126,49	126,12	126,44	126,14	17880
09032026 030000	126,22	126,05	126,15	126,18	6254
09032026 040000	126,21	126,01	126,17	126,04	8108
09032026 050000	126,08	125,94	126,05	126,00	5244
09032026 060000	126,43	126,01	126,01	126,34	14304
09032026 070000	126,42	126,20	126,35	126,38	18974
09032026 080000	126,59	126,27	126,37	126,37	183245
09032026 090000	126,82	126,35	126,37	126,70	274216
09032026 100000	126,88	126,58	126,69	126,77	269603
09032026 110000	126,81	126,55	126,78	126,65	171941
09032026 120000	126,78	126,62	126,65	126,66	135371
09032026 130000	126,76	126,48	126,65	126,58	148338
09032026 140000	126,95	126,59	126,59	126,79	242489
09032026 150000	126,96	126,59	126,79	126,92	211793
09032026 160000	127,07	126,86	126,92	126,98	170206
