data	open	high	low	close	volume
2023-03-20 08:00:00	117.04	117.04	116.25	116.59	70307
2023-03-20 11:00:00	116.61	116.73	116.06	116.13	55788
2023-03-20 14:00:00	116.14	116.81	116.14	116.56	78315
2023-03-21 08:00:00	116.75	117.16	116.01	116.1	46658
2023-03-21 11:00:00	116.09	116.12	115.27	115.34	52242
2023-03-21 14:00:00	115.34	115.76	115.24	115.35	52497
2023-03-22 08:00:00	115.23	115.29	114.78	115.08	33789
2023-03-22 11:00:00	115.07	115.19	114.15	114.24	45560
2023-03-22 14:00:00	114.24	115.19	114.24	115.11	60819
2023-03-23 08:00:00	115.27	115.68	115.14	115.33	36975
2023-03-23 11:00:00	115.34	115.56	114.93	115.31	36333
2023-03-23 14:00:00	115.32	116.13	115.31	115.95	58887
2023-03-24 08:00:00	116.2	116.84	116.06	116.82	52849
2023-03-24 11:00:00	116.83	117.16	116.58	116.71	55745
2023-03-24 14:00:00	116.7	116.9	116.2	116.43	57632
2023-03-27 08:00:00	116.1	116.52	115.81	116.26	31623
2023-03-27 11:00:00	116.26	116.29	115.69	115.85	35871
2023-03-27 14:00:00	115.84	116.04	115.48	115.7	52206
2023-03-28 08:00:00	115.54	115.57	114.85	114.86	47364
2023-03-28 11:00:00	114.86	115.06	114.74	114.88	57311
2023-03-28 14:00:00	114.86	115.31	114.85	115.06	54448
2023-03-29 08:00:00	114.84	115.4	114.77	115.21	25217
2023-03-29 11:00:00	115.21	115.62	115.19	115.39	36881
2023-03-29 14:00:00	115.39	115.43	114.86	115.1	64353
2023-03-30 08:00:00	115.51	116.06	115.12	115.15	81467
2023-03-30 11:00:00	115.15	115.37	115.03	115.22	51884
2023-03-30 14:00:00	115.22	115.22	114.05	114.47	77353
2023-03-31 08:00:00	114.61	114.82	114.04	114.1	25876
2023-03-31 11:00:00	114.1	115.11	114.1	114.87	40612
2023-03-31 14:00:00	114.87	115.83	114.71	115.78	58783
2023-04-03 08:00:00	115.36	115.54	114.67	114.89	33761
2023-04-03 11:00:00	114.91	115.35	114.82	115.19	28067
2023-04-03 14:00:00	115.2	115.71	114.91	115.5	80748
2023-04-04 08:00:00	115.42	115.58	115.02	115.08	30668
2023-04-04 11:00:00	115.08	115.26	114.59	114.81	47210
2023-04-04 14:00:00	114.82	115.55	114.61	115.46	104412
2023-04-05 08:00:00	115.25	115.51	114.99	115.15	40936
2023-04-05 11:00:00	115.17	115.6	114.95	115.58	30431
2023-04-05 14:00:00	115.57	116.47	115.55	116.32	81118
2023-04-06 08:00:00	116.09	116.77	115.98	116.6	35589
2023-04-06 11:00:00	116.59	116.72	116.44	116.66	31897
2023-04-06 14:00:00	116.65	116.96	116.13	116.4	48932
2023-04-11 08:00:00	115.35	115.8	115.15	115.67	36510
2023-04-11 11:00:00	115.68	115.68	115.29	115.43	30542
2023-04-11 14:00:00	115.43	115.6	114.86	114.93	49810
2023-04-12 08:00:00	114.92	115.12	114.84	114.98	30973
