data	open	high	low	close	volume
2023-03-20 08:00:00	117.04	117.04	116.25	116.62	11865
2023-03-20 09:00:00	116.6	116.77	116.33	116.61	31323
2023-03-20 10:00:00	116.62	116.77	116.33	116.59	27119
2023-03-20 11:00:00	116.61	116.73	116.14	116.28	21826
2023-03-20 12:00:00	116.28	116.65	116.19	116.36	16813
2023-03-20 13:00:00	116.36	116.42	116.06	116.13	17149
2023-03-20 14:00:00	116.14	116.62	116.14	116.45	22591
2023-03-20 15:00:00	116.44	116.8	116.37	116.61	21989
2023-03-20 16:00:00	116.62	116.81	116.38	116.5	18713
2023-03-20 17:00:00	116.5	116.69	116.37	116.52	12959
2023-03-20 18:00:00	116.52	116.61	116.44	116.56	2063
2023-03-21 08:00:00	116.75	117.16	116.37	116.39	8546
2023-03-21 09:00:00	116.38	116.7	116.11	116.17	19690
2023-03-21 10:00:00	116.17	116.28	116.01	116.1	18422
2023-03-21 11:00:00	116.09	116.12	115.74	115.76	16011
2023-03-21 12:00:00	115.75	115.78	115.31	115.41	16934
2023-03-21 13:00:00	115.42	115.47	115.27	115.34	19297
2023-03-21 14:00:00	115.34	115.53	115.27	115.28	11342
2023-03-21 15:00:00	115.28	115.74	115.24	115.72	19951
2023-03-21 16:00:00	115.71	115.76	115.38	115.41	10406
2023-03-21 17:00:00	115.41	115.53	115.33	115.33	8757
2023-03-21 18:00:00	115.35	115.4	115.29	115.35	2041
2023-03-22 08:00:00	115.23	115.29	114.78	114.91	5925
2023-03-22 09:00:00	114.92	115.19	114.86	114.96	17240
2023-03-22 10:00:00	114.96	115.14	114.9	115.08	10624
2023-03-22 11:00:00	115.07	115.19	114.61	114.67	17437
2023-03-22 12:00:00	114.67	114.68	114.35	114.41	12772
2023-03-22 13:00:00	114.4	114.45	114.15	114.24	15351
2023-03-22 14:00:00	114.24	114.56	114.24	114.34	15599
2023-03-22 15:00:00	114.34	114.58	114.26	114.52	13899
2023-03-22 16:00:00	114.52	114.77	114.35	114.62	19262
2023-03-22 17:00:00	114.62	114.92	114.57	114.87	9608
2023-03-22 18:00:00	114.86	115.19	114.79	115.11	2451
2023-03-23 08:00:00	115.27	115.68	115.16	115.35	5443
2023-03-23 09:00:00	115.36	115.62	115.14	115.21	19383
2023-03-23 10:00:00	115.22	115.54	115.21	115.33	12149
2023-03-23 11:00:00	115.34	115.35	115.08	115.08	12032
2023-03-23 12:00:00	115.08	115.34	114.93	115.3	12601
