data	open	high	low	close	volume
2023-03-20 08:00:00	117.04	117.04	116.25	116.34	84546
2023-03-20 11:40:00	116.34	116.68	116.06	116.66	71459
2023-03-20 15:20:00	116.66	116.81	116.37	116.56	48405
2023-03-21 08:00:00	116.75	117.16	115.88	115.9	56348
2023-03-21 11:40:00	115.89	115.92	115.24	115.37	60822
2023-03-21 15:20:00	115.38	115.76	115.29	115.35	34227
2023-03-22 08:00:00	115.23	115.29	114.61	114.7	47139
2023-03-22 11:40:00	114.7	114.75	114.15	114.43	52642
2023-03-22 15:20:00	114.43	115.19	114.35	115.11	40387
2023-03-23 08:00:00	115.27	115.68	115.09	115.24	44459
2023-03-23 11:40:00	115.24	115.56	114.93	115.56	42786
2023-03-23 15:20:00	115.56	116.13	115.52	115.95	44950
2023-03-24 08:00:00	116.2	117.16	116.06	117.0	68598
2023-03-24 11:40:00	117.0	117.0	116.37	116.44	65050
2023-03-24 15:20:00	116.45	116.61	116.2	116.43	32578
2023-03-27 08:00:00	116.1	116.52	115.81	116.06	40374
2023-03-27 11:40:00	116.07	116.11	115.56	115.6	43622
2023-03-27 15:20:00	115.61	116.04	115.48	115.7	35704
2023-03-28 08:00:00	115.54	115.57	114.77	114.88	64138
2023-03-28 11:40:00	114.88	115.31	114.74	115.17	61350
2023-03-28 15:20:00	115.17	115.3	114.98	115.06	33635
2023-03-29 08:00:00	114.84	115.62	114.77	115.54	36259
2023-03-29 11:40:00	115.54	115.58	114.86	114.98	50960
2023-03-29 15:20:00	114.97	115.25	114.88	115.1	39232
2023-03-30 08:00:00	115.51	116.06	115.03	115.36	103928
2023-03-30 11:40:00	115.36	115.37	114.05	114.42	71289
2023-03-30 15:20:00	114.41	114.62	114.14	114.47	35487
2023-03-31 08:00:00	114.61	115.02	114.04	114.81	43760
2023-03-31 11:40:00	114.81	115.28	114.45	115.09	38381
2023-03-31 15:20:00	115.09	115.83	114.93	115.78	43130
2023-04-03 08:00:00	115.36	115.54	114.67	114.97	37979
2023-04-03 11:40:00	114.97	115.35	114.94	115.16	49673
2023-04-03 15:20:00	115.16	115.71	114.91	115.5	54924
2023-04-04 08:00:00	115.42	115.58	114.99	115.21	38110
2023-04-04 11:40:00	115.21	115.23	114.59	114.72	70119
2023-04-04 15:20:00	114.72	115.55	114.66	115.46	74061
2023-04-05 08:00:00	115.25	115.51	114.95	115.07	49077
2023-04-05 11:40:00	115.06	116.07	114.98	115.81	47673
2023-04-05 15:20:00	115.8	116.47	115.73	116.32	55735
2023-04-06 08:00:00	116.09	116.77	115.98	116.57	43873
2023-04-06 11:40:00	116.57	116.96	116.27	116.29	42657
2023-04-06 15:20:00	116.29	116.55	116.13	116.4	29888
2023-04-11 08:00:00	115.35	115.8	115.15	115.51	43322
2023-04-11 11:40:00	115.51	115.6	115.23	115.24	35536
2023-04-11 15:20:00	115.25	115.32	114.86	114.93	38004
2023-04-12 08:00:00	114.92	115.12	114.84	115.0	36283
2023-04-12 11:40:00	115.01	115.9	114.82	115.24	61254
2023-04-12 15:20:00	115.23	115.33	114.16	114.52	70649
2023-04-13 08:00:00	114.52	114.94	114.08	114.23	83219
2023-04-13 11:40:00	114.23	114.74	114.13	114.66	59813
2023-04-13 15:20:00	114.65	114.88	114.47	114.64	35086
2023-04-14 08:00:00	114.35	114.59	114.21	114.32	30771
2023-04-14 11:40:00	114.32	114.65	113.84	114.14	67793
2023-04-14 15:20:00	114.13	114.25	113.79	113.86	45766
2023-04-17 08:00:00	113.93	114.11	113.69	113.77	38002
2023-04-17 11:40:00	113.77	113.88	113.46	113.52	35548
2023-04-17 15:20:00	113.53	113.8	113.44	113.74	31758
2023-04-18 08:00:00	113.67	113.83	113.38	113.78	40649
2023-04-18 11:40:00	113.79	114.3	113.77	114.0	52099
2023-04-18 15:20:00	113.99	114.15	113.69	113.7	30789
2023-04-19 08:00:00	113.49	113.53	113.09	113.47	49468
2023-04-19 11:40:00	113.47	113.58	113.22	113.57	37126
2023-04-19 15:20:00	113.56	113.59	113.19	113.35	39713
2023-04-20 08:00:00	113.39	113.77	113.12	113.27	56805
2023-04-20 11:40:00	113.26	113.57	113.14	113.44	55438
2023-04-20 15:20:00	113.45	113.79	113.44	113.72	38932
2023-04-21 08:00:00	113.86	114.04	113.25	113.58	60668
2023-04-21 11:40:00	113.58	113.73	113.3	113.68	42301
2023-04-21 15:20:00	113.68	113.73	113.18	113.37	39758
2023-04-24 08:00:00	113.7	113.88	113.38	113.41	39343
2023-04-24 11:40:00	113.41	113.47	113.26	113.32	34819
2023-04-24 15:20:00	113.32	113.36	112.93	112.95	36588
2023-04-25 08:00:00	113.37	113.86	113.17	113.64	55066
2023-04-25 11:40:00	113.63	113.72	113.32	113.65	45476
2023-04-25 15:20:00	113.65	114.34	113.54	114.08	58715
2023-04-26 08:00:00	114.2	114.61	113.89	114.47	65915
2023-04-26 11:40:00	114.48	114.52	113.86	114.17	66450
2023-04-26 15:20:00	114.17	114.46	114.0	114.07	51694
2023-04-27 08:00:00	114.03	114.07	113.57	113.92	93603
2023-04-27 11:40:00	113.92	114.04	113.57	113.62	59766
2023-04-27 15:20:00	113.62	113.67	113.3	113.47	50368
2023-04-28 08:00:00	113.59	114.38	113.02	114.2	79871
2023-04-28 11:40:00	114.2	114.65	113.91	114.49	69958
2023-04-28 15:20:00	114.49	115.09	114.38	115.03	69479
2023-05-02 08:00:00	113.95	114.7	113.7	114.4	69191
2023-05-02 11:40:00	114.41	114.5	114.07	114.17	38842
2023-05-02 15:20:00	114.17	115.18	114.15	115.02	72073
2023-05-03 08:00:00	114.94	115.47	114.94	115.42	52102
2023-05-03 11:40:00	115.41	115.59	115.2	115.35	61701
2023-05-03 15:20:00	115.35	115.67	115.23	115.64	48594
2023-05-04 08:00:00	115.67	115.67	115.06	115.06	53318
2023-05-04 11:40:00	115.06	115.22	114.16	114.53	75298
2023-05-04 15:20:00	114.53	115.82	114.52	115.55	89590
2023-05-05 08:00:00	115.27	115.38	114.92	114.95	54237
2023-05-05 11:40:00	114.95	115.04	114.53	114.87	54706
2023-05-05 15:20:00	114.87	115.01	114.68	114.98	45179
2023-05-08 08:00:00	115.15	115.19	114.48	114.6	32721
2023-05-08 11:40:00	114.61	114.67	114.32	114.37	34373
2023-05-08 15:20:00	114.37	114.57	114.23	114.44	29776
2023-05-09 08:00:00	114.44	114.68	114.07	114.39	61723
2023-05-09 11:40:00	114.38	114.61	114.14	114.19	47335
2023-05-09 15:20:00	114.19	114.25	113.98	114.14	36403
2023-05-10 08:00:00	114.06	114.24	113.91	114.22	38664
2023-05-10 11:40:00	114.22	114.92	114.2	114.74	57081
2023-05-10 15:20:00	114.74	114.96	114.49	114.81	58098
