data	open	high	low	close	volume
2018-05-03 08:00:00	158.6	158.85	158.42	158.76	898
2018-05-03 11:40:00	158.76	159.04	158.76	158.96	850
2018-05-03 15:20:00	158.96	159.32	158.96	159.16	1098
2018-05-04 08:00:00	159.14	159.31	159.13	159.19	877
2018-05-04 11:40:00	159.2	159.36	159.09	159.15	919
2018-05-04 15:20:00	159.16	159.21	159.03	159.12	808
2018-05-07 08:00:00	159.08	159.24	159.08	159.14	328
2018-05-07 11:40:00	159.15	159.4	159.12	159.33	277
2018-05-07 15:20:00	159.34	159.37	159.23	159.25	262
2018-05-08 08:00:00	159.24	159.26	159.11	159.11	742
2018-05-08 11:40:00	159.1	159.16	158.93	158.94	669
2018-05-08 15:20:00	158.94	159.01	158.76	158.8	639
2018-05-09 08:00:00	158.74	158.75	158.51	158.58	1093
2018-05-09 11:40:00	158.57	158.73	158.55	158.69	668
2018-05-09 15:20:00	158.68	158.87	158.67	158.8	439
2018-05-10 08:00:00	158.87	158.99	158.8	158.97	764
2018-05-10 11:40:00	159.02	159.19	159.0	159.15	1147
2018-05-10 15:20:00	159.15	159.23	158.88	158.93	548
2018-05-11 08:00:00	158.93	159.11	158.92	159.03	664
2018-05-11 11:40:00	159.02	159.07	158.89	158.92	635
2018-05-11 15:20:00	158.91	158.91	158.78	158.86	596
2018-05-14 08:00:00	158.93	159.0	158.32	158.33	818
2018-05-14 11:40:00	158.33	158.55	158.25	158.35	591
2018-05-14 15:20:00	158.35	158.35	158.12	158.21	600
2018-05-15 08:00:00	158.12	158.15	157.94	158.09	1077
2018-05-15 11:40:00	158.07	158.13	157.8	157.8	1089
2018-05-15 15:20:00	157.77	157.88	157.66	157.67	833
2018-05-16 08:00:00	157.85	158.18	157.85	158.06	1430
2018-05-16 11:40:00	158.06	158.47	157.97	158.36	1166
2018-05-16 15:20:00	158.36	158.38	157.95	158.19	1272
2018-05-17 08:00:00	157.93	157.97	157.72	157.96	1543
2018-05-17 11:40:00	157.95	158.35	157.92	157.97	1365
2018-05-17 15:20:00	157.98	158.13	157.81	157.87	771
2018-05-18 08:00:00	157.81	158.04	157.81	158.04	1018
2018-05-18 11:40:00	158.05	158.11	157.9	158.08	875
2018-05-18 15:20:00	158.09	158.76	158.09	158.75	864
2018-05-21 08:00:00	158.64	159.1	158.61	158.94	1475
2018-05-21 11:40:00	158.93	159.04	158.87	158.96	765
2018-05-21 15:20:00	158.95	159.47	158.91	159.4	1099
2018-05-22 08:00:00	159.36	159.41	158.73	158.89	1409
2018-05-22 11:40:00	158.9	159.19	158.8	159.18	1016
2018-05-22 15:20:00	159.18	159.19	158.86	158.98	898
2018-05-23 08:00:00	159.08	159.8	159.06	159.6	2337
2018-05-23 11:40:00	159.6	159.78	159.59	159.68	1551
2018-05-23 15:20:00	159.64	159.75	159.51	159.63	1262
2018-05-24 08:00:00	159.7	159.7	159.31	159.44	1551
2018-05-24 11:40:00	159.44	159.95	159.44	159.95	1110
2018-05-24 15:20:00	159.92	160.27	159.92	160.17	1316
2018-05-25 08:00:00	160.07	160.51	160.04	160.4	1781
2018-05-25 11:40:00	160.42	161.29	160.37	161.28	1816
2018-05-25 15:20:00	161.26	161.3	160.98	161.04	1200
2018-05-28 08:00:00	160.46	161.02	160.29	160.95	2280
2018-05-28 11:40:00	161.02	161.84	160.94	161.81	2666
2018-05-28 15:20:00	161.82	161.96	161.71	161.89	1167
2018-05-29 08:00:00	161.82	164.02	161.81	162.87	6320
