pnl,dir,src,ts,ix_e,ix_x,cumul,year
0.23,SHORT,RSI+BB,2018-05-11 15:00:00,74,91,0.23,2018
-0.23,LONG,RSI+BB,2018-05-14 11:00:00,100,101,0.0,2018
-0.24,LONG,RSI+BB,2018-05-15 08:00:00,102,112,-0.24,2018
-0.25,LONG,RSI+BB,2018-05-15 17:00:00,113,121,-0.49,2018
0.3,SHORT,RSI+BB,2018-05-16 16:00:00,133,134,-0.19,2018
0.3,LONG,RSI+BB,2018-05-17 12:00:00,142,145,0.10999999999999999,2018
-0.33,SHORT,RSI+BB,2018-05-21 09:00:00,164,170,-0.22000000000000003,2018
-0.32,SHORT,RSI+BB,2018-05-21 17:00:00,171,178,-0.54,2018
0.33,SHORT,RSI+BB,2018-05-22 08:00:00,179,183,-0.21000000000000002,2018
-0.31,SHORT,RSI+BB,2018-05-23 10:00:00,198,199,-0.52,2018
-0.33,SHORT,RSI+BB,2018-05-24 15:00:00,200,218,-0.8500000000000001,2018
-0.36,SHORT,RSI+BB,2018-05-25 12:00:00,219,229,-1.21,2018
-0.35,SHORT,RSI+BB,2018-05-25 15:00:00,231,232,-1.56,2018
0.37,SHORT,RSI+BB,2018-05-28 08:00:00,233,235,-1.19,2018
-0.46,SHORT,RSI+BB,2018-05-29 08:00:00,241,249,-1.65,2018
-0.47,SHORT,RSI+BB,2018-05-29 10:00:00,250,251,-2.12,2018
0.57,SHORT,RSI+BB,2018-05-29 12:00:00,252,253,-1.5500000000000003,2018
0.76,LONG,RSI+BB,2018-05-31 14:00:00,279,283,-0.7900000000000003,2018
-0.15,LONG,RSI+BB,2018-06-04 12:00:00,308,309,-0.9400000000000003,2018
0.59,LONG,RSI+BB,2018-06-05 14:00:00,314,325,-0.3500000000000003,2018
-0.01,SHORT,RSI+BB,2018-06-05 17:00:00,326,328,-0.3600000000000003,2018
-0.2,LONG,RSI+BB,2018-06-06 11:00:00,336,337,-0.5600000000000003,2018
-0.52,LONG,RSI+BB,2018-06-07 17:00:00,338,344,-1.0800000000000003,2018
0.61,LONG,RSI+BB,2018-06-07 20:00:00,345,346,-0.4700000000000003,2018
-1.08,LONG,RSI+BB,2018-06-14 13:00:00,379,384,-1.5500000000000003,2018
-0.72,SHORT,RSI+BB,2018-06-21 11:00:00,389,429,-2.2700000000000005,2018
-0.06,SHORT,RSI+BB,2018-06-26 08:00:00,430,470,-2.3300000000000005,2018
0.4,LONG,RSI+BB,2018-06-26 12:00:00,471,474,-1.9300000000000006,2018
0.36,SHORT,RSI+BB,2018-06-27 14:00:00,486,490,-1.5700000000000007,2018
0.33,LONG,RSI+BB,2018-06-29 12:00:00,513,516,-1.2400000000000007,2018
0.3,LONG,RSI+BB,2018-07-03 16:00:00,541,549,-0.9400000000000006,2018
-0.04,SHORT,RSI+BB,2018-07-04 09:00:00,550,556,-0.9800000000000006,2018
0.28,SHORT,RSI+BB,2018-07-04 18:00:00,557,565,-0.7000000000000006,2018
-0.28,LONG,RSI+BB,2018-07-05 10:00:00,566,572,-0.9800000000000006,2018
0.26,LONG,RSI+BB,2018-07-05 14:00:00,573,576,-0.7200000000000006,2018
-0.18,LONG,RSI+BB,2018-07-09 10:00:00,600,601,-0.9000000000000006,2018
-0.01,LONG,RSI+BB,2018-07-09 12:00:00,602,603,-0.9100000000000006,2018
0.24,LONG,RSI+BB,2018-07-10 14:00:00,615,619,-0.6700000000000006,2018
-0.02,SHORT,RSI+BB,2018-07-11 10:00:00,629,630,-0.6900000000000006,2018
0.25,SHORT,RSI+BB,2018-07-11 14:00:00,632,634,-0.4400000000000006,2018
-0.23,SHORT,RSI+BB,2018-07-13 11:00:00,660,661,-0.6700000000000006,2018
0.24,SHORT,RSI+BB,2018-07-13 17:00:00,662,667,-0.4300000000000006,2018
0.23,LONG,RSI+BB,2018-07-17 14:00:00,680,692,-0.2000000000000006,2018
-0.22,SHORT,RSI+BB,2018-07-18 09:00:00,693,701,-0.4200000000000006,2018
-0.21,SHORT,RSI+BB,2018-07-18 14:00:00,702,706,-0.6300000000000006,2018
-0.2,SHORT,RSI+BB,2018-07-19 18:00:00,721,725,-0.8300000000000005,2018
0.21,SHORT,RSI+BB,2018-07-20 10:00:00,730,731,-0.6200000000000006,2018
-0.09,LONG,RSI+BB,2018-07-20 17:00:00,737,738,-0.7100000000000005,2018
-0.25,LONG,RSI+BB,2018-07-23 08:00:00,739,744,-0.9600000000000005,2018
0.25,LONG,RSI+BB,2018-07-26 15:00:00,786,793,-0.7100000000000005,2018
-0.27,LONG,RSI+BB,2018-07-30 15:00:00,817,821,-0.9800000000000005,2018
0.22,SHORT,RSI+BB,2018-12-03 08:00:00,2058,2069,-0.7600000000000006,2018
0.22,LONG,RSI+BB,2018-12-03 12:00:00,2070,2073,-0.5400000000000006,2018
-0.22,SHORT,RSI+BB,2018-12-04 10:00:00,2084,2085,-0.7600000000000006,2018
-0.23,SHORT,RSI+BB,2018-12-04 18:00:00,2092,2093,-0.9900000000000005,2018
0.23,SHORT,RSI+BB,2018-12-05 14:00:00,2094,2103,-0.7600000000000006,2018
0.24,LONG,RSI+BB,2018-12-05 16:00:00,2104,2105,-0.5200000000000006,2018
-0.29,SHORT,RSI+BB,2018-12-06 08:00:00,2106,2111,-0.8100000000000005,2018
0.28,SHORT,RSI+BB,2018-12-07 11:00:00,2119,2128,-0.5300000000000005,2018
0.28,LONG,RSI+BB,2018-12-07 18:00:00,2133,2135,-0.25000000000000044,2018
0.29,LONG,RSI+BB,2018-12-11 14:00:00,2156,2159,0.039999999999999536,2018
0.3,SHORT,RSI+BB,2018-12-12 13:00:00,2162,2172,0.3399999999999995,2018
-0.36,LONG,RSI+BB,2018-12-12 17:00:00,2173,2176,-0.020000000000000462,2018
0.31,LONG,RSI+BB,2018-12-13 15:00:00,2177,2188,0.28999999999999954,2018
-0.06,SHORT,RSI+BB,2018-12-19 08:00:00,2197,2237,0.22999999999999954,2018
-0.26,SHORT,RSI+BB,2018-12-20 09:00:00,2250,2252,-0.03000000000000047,2018
-0.39,SHORT,RSI+BB,2019-01-02 08:00:00,2280,2307,-0.4200000000000005,2019
-0.27,SHORT,RSI+BB,2019-01-02 10:00:00,2308,2309,-0.6900000000000005,2019
-0.3,SHORT,RSI+BB,2019-01-02 14:00:00,2310,2313,-0.9900000000000004,2019
0.35,LONG,RSI+BB,2019-01-07 10:00:00,2344,2351,-0.6400000000000005,2019
0.3,LONG,RSI+BB,2019-01-09 16:00:00,2364,2385,-0.34000000000000047,2019
-0.28,SHORT,RSI+BB,2019-01-10 12:00:00,2386,2395,-0.6200000000000006,2019
-0.3,SHORT,RSI+BB,2019-01-11 15:00:00,2396,2412,-0.9200000000000006,2019
-0.3,SHORT,RSI+BB,2019-01-15 10:00:00,2413,2435,-1.2200000000000006,2019
-0.03,SHORT,RSI+BB,2019-01-15 12:00:00,2436,2437,-1.2500000000000007,2019
0.28,LONG,RSI+BB,2019-01-17 08:00:00,2450,2461,-0.9700000000000006,2019
0.27,SHORT,RSI+BB,2019-01-17 11:00:00,2462,2464,-0.7000000000000006,2019
-0.09,LONG,RSI+BB,2019-01-17 17:00:00,2469,2470,-0.7900000000000006,2019
-0.27,LONG,RSI+BB,2019-01-18 09:00:00,2471,2476,-1.0600000000000005,2019
0.29,LONG,RSI+BB,2019-01-18 15:00:00,2477,2482,-0.7700000000000005,2019
0.24,SHORT,RSI+BB,2019-01-22 10:00:00,2504,2505,-0.5300000000000005,2019
-0.06,SHORT,RSI+BB,2019-01-22 15:00:00,2509,2510,-0.5900000000000005,2019
0.23,SHORT,RSI+BB,2019-01-23 10:00:00,2516,2519,-0.36000000000000054,2019
-0.25,SHORT,RSI+BB,2019-01-24 12:00:00,2532,2535,-0.6100000000000005,2019
