pnl,dir,ix,ts,cumul,year
0.37,SHORT,48,2018-05-08 14:00:00,0.37,2018
-0.22,LONG,56,2018-05-09 08:00:00,0.15,2018
0.35,LONG,70,2018-05-10 08:00:00,0.5,2018
0.34,SHORT,99,2018-05-14 09:00:00,0.8400000000000001,2018
-0.23,LONG,101,2018-05-14 11:00:00,0.6100000000000001,2018
-0.24,LONG,112,2018-05-15 08:00:00,0.3700000000000001,2018
-0.25,LONG,121,2018-05-15 17:00:00,0.1200000000000001,2018
0.45,SHORT,134,2018-05-16 16:00:00,0.5700000000000001,2018
0.46,LONG,145,2018-05-17 12:00:00,1.03,2018
-0.33,SHORT,170,2018-05-21 09:00:00,0.7,2018
0.49,SHORT,184,2018-05-22 09:00:00,1.19,2018
-0.31,SHORT,199,2018-05-23 10:00:00,0.8799999999999999,2018
-0.33,SHORT,218,2018-05-24 15:00:00,0.5499999999999998,2018
-0.36,SHORT,229,2018-05-25 12:00:00,0.18999999999999984,2018
-0.35,SHORT,232,2018-05-25 15:00:00,-0.16000000000000014,2018
0.55,SHORT,235,2018-05-28 08:00:00,0.3899999999999999,2018
-0.46,SHORT,249,2018-05-29 08:00:00,-0.07000000000000012,2018
-0.47,SHORT,251,2018-05-29 10:00:00,-0.54,2018
0.85,SHORT,253,2018-05-29 12:00:00,0.30999999999999994,2018
1.14,LONG,284,2018-05-31 15:00:00,1.4499999999999997,2018
-0.15,LONG,309,2018-06-04 12:00:00,1.2999999999999998,2018
-0.59,LONG,342,2018-06-06 16:00:00,0.7099999999999999,2018
0.92,LONG,346,2018-06-07 20:00:00,1.63,2018
-1.08,LONG,384,2018-06-14 13:00:00,0.5499999999999998,2018
-0.72,SHORT,429,2018-06-21 11:00:00,-0.17000000000000015,2018
-0.06,SHORT,470,2018-06-26 08:00:00,-0.23000000000000015,2018
0.59,LONG,486,2018-06-27 10:00:00,0.3599999999999998,2018
0.54,SHORT,514,2018-06-29 10:00:00,0.8999999999999999,2018
0.53,LONG,519,2018-06-29 15:00:00,1.43,2018
0.46,LONG,556,2018-07-04 09:00:00,1.89,2018
-0.28,LONG,572,2018-07-05 10:00:00,1.6099999999999999,2018
-0.18,LONG,601,2018-07-09 10:00:00,1.43,2018
-0.01,LONG,603,2018-07-09 12:00:00,1.42,2018
0.37,LONG,628,2018-07-11 08:00:00,1.79,2018
-0.02,SHORT,630,2018-07-11 10:00:00,1.77,2018
-0.25,SHORT,660,2018-07-13 10:00:00,1.52,2018
0.35,SHORT,679,2018-07-16 15:00:00,1.87,2018
0.34,LONG,701,2018-07-18 09:00:00,2.21,2018
-0.21,SHORT,706,2018-07-18 14:00:00,2.0,2018
-0.2,SHORT,725,2018-07-19 18:00:00,1.8,2018
0.31,SHORT,732,2018-07-20 11:00:00,2.11,2018
-0.09,LONG,738,2018-07-20 17:00:00,2.02,2018
-0.25,LONG,744,2018-07-23 08:00:00,1.77,2018
0.37,LONG,793,2018-07-26 15:00:00,2.14,2018
-0.27,LONG,821,2018-07-30 15:00:00,1.87,2018
-0.28,LONG,847,2018-08-01 13:00:00,1.59,2018
0.42,LONG,859,2018-08-02 11:00:00,2.0100000000000002,2018
-0.26,SHORT,870,2018-08-03 08:00:00,1.7500000000000002,2018
-0.3,SHORT,877,2018-08-03 15:00:00,1.4500000000000002,2018
-0.24,SHORT,927,2018-08-09 09:00:00,1.2100000000000002,2018
-0.23,SHORT,940,2018-08-10 08:00:00,0.9800000000000002,2018
-0.24,SHORT,947,2018-08-10 15:00:00,0.7400000000000002,2018
0.4,LONG,990,2018-08-15 16:00:00,1.1400000000000001,2018
0.07,SHORT,1031,2018-08-20 15:00:00,1.2100000000000002,2018
-0.07,LONG,1041,2018-08-21 11:00:00,1.1400000000000001,2018
-0.22,LONG,1056,2018-08-22 12:00:00,0.9200000000000002,2018
-0.22,LONG,1087,2018-08-24 15:00:00,0.7000000000000002,2018
0.35,LONG,1094,2018-08-27 08:00:00,1.0500000000000003,2018
0.35,SHORT,1096,2018-08-27 10:00:00,1.4000000000000004,2018
-0.02,LONG,1100,2018-08-27 14:00:00,1.3800000000000003,2018
-0.26,LONG,1114,2018-08-28 14:00:00,1.1200000000000003,2018
-0.26,LONG,1129,2018-08-29 15:00:00,0.8600000000000003,2018
0.38,LONG,1142,2018-08-30 14:00:00,1.2400000000000002,2018
-0.26,SHORT,1145,2018-08-30 17:00:00,0.9800000000000002,2018
-0.26,SHORT,1159,2018-08-31 17:00:00,0.7200000000000002,2018
0.32,SHORT,2069,2018-12-03 08:00:00,1.0400000000000003,2018
0.33,LONG,2076,2018-12-03 15:00:00,1.3700000000000003,2018
-0.23,SHORT,2092,2018-12-04 17:00:00,1.1400000000000003,2018
-0.23,SHORT,2094,2018-12-04 19:00:00,0.9100000000000004,2018
-0.24,SHORT,2105,2018-12-05 16:00:00,0.6700000000000004,2018
-0.29,SHORT,2111,2018-12-06 08:00:00,0.3800000000000004,2018
0.42,LONG,2138,2018-12-07 21:00:00,0.8000000000000004,2018
0.44,LONG,2160,2018-12-11 15:00:00,1.2400000000000004,2018
0.45,SHORT,2173,2018-12-12 14:00:00,1.6900000000000004,2018
-0.25,LONG,2176,2018-12-12 17:00:00,1.4400000000000004,2018
0.47,LONG,2197,2018-12-14 10:00:00,1.9100000000000004,2018
0.43,LONG,2223,2018-12-18 08:00:00,2.3400000000000003,2018
-0.27,SHORT,2249,2018-12-19 20:00:00,2.0700000000000003,2018
-0.26,SHORT,2252,2018-12-20 09:00:00,1.8100000000000003,2018
-0.39,SHORT,2307,2019-01-02 08:00:00,1.4200000000000004,2019
-0.27,SHORT,2309,2019-01-02 10:00:00,1.1500000000000004,2019
-0.3,SHORT,2313,2019-01-02 14:00:00,0.8500000000000003,2019
-0.35,LONG,2364,2019-01-08 09:00:00,0.5000000000000003,2019
0.45,LONG,2385,2019-01-09 16:00:00,0.9500000000000004,2019
