Target	Stop	PnL_Totale	Trades	WinRate_%	Profit_Factor
0.2	0.2	1.707	120	53.3	1.16
0.4	0.2	1.651	120	35.0	1.12
1.0	0.2	0.589	120	14.2	0.9
0.3	0.2	0.451	120	40.0	1.04
0.2	0.3	0.445	120	60.0	1.04
0.4	0.3	0.044	120	40.8	1.02
0.4	0.4	-0.038	120	45.0	1.04
0.2	0.5	-0.233	120	68.3	1.06
0.2	0.4	-0.354	120	64.2	1.01
1.0	0.4	-0.574	120	17.5	0.78
0.3	0.4	-0.758	120	51.7	1.01
0.5	0.2	-0.763	120	26.7	0.95
0.4	0.5	-0.833	120	48.3	1.03
1.0	0.3	-1.048	120	16.7	0.81
0.8	0.4	-1.351	120	21.7	0.8
0.3	0.5	-1.353	120	55.0	1.02
1.0	1.0	-1.436	120	22.5	1.08
0.3	0.3	-1.489	120	45.8	0.93
0.2	0.6	-1.733	120	70.0	0.97
0.5	0.4	-1.823	120	35.0	0.91
0.8	0.3	-1.853	120	20.0	0.81
0.8	0.2	-1.916	120	15.8	0.82
0.5	0.3	-2.343	120	31.7	0.88
1.0	0.5	-2.398	120	18.3	0.76
0.5	0.5	-2.69	120	36.7	0.9
0.2	1.0	-2.782	120	74.2	1.19
1.0	0.6	-2.788	120	20.0	0.77
0.4	1.0	-3.03	120	52.5	1.4
0.6	0.2	-3.101	120	20.0	0.8
0.8	0.5	-3.175	120	22.5	0.77
0.5	1.0	-3.387	120	42.5	1.27
0.8	1.0	-3.642	120	27.5	1.06
0.4	0.6	-3.692	120	49.2	0.96
0.6	0.4	-3.876	120	28.3	0.81
0.2	0.8	-3.92	120	71.7	1.02
0.8	0.6	-3.934	120	25.0	0.8
0.3	0.6	-3.967	120	55.8	0.93
0.6	0.3	-4.296	120	25.0	0.78
0.3	1.0	-4.512	120	59.2	1.25
0.5	0.6	-4.749	120	38.3	0.87
0.6	0.5	-5.7	120	29.2	0.78
0.6	1.0	-5.804	120	35.8	1.12
0.4	0.8	-5.869	120	49.2	1.05
0.3	0.8	-5.882	120	56.7	1.02
1.0	0.8	-6.305	120	20.0	0.81
0.6	0.6	-6.859	120	31.7	0.79
0.5	0.8	-7.527	120	38.3	0.93
0.8	0.8	-7.912	120	25.0	0.81
0.6	0.8	-10.437	120	31.7	0.81
