Data	PnL_Lordo	PnL_Netto_Euro	Cumulata_Euro
2023-03-28	0.0	0.0	0.0
2023-03-29	0.0	0.0	0.0
2023-03-30	0.4	394.0	394.0
2023-03-31	0.0	0.0	394.0
2023-04-04	0.0	0.0	394.0
2023-04-05	0.0	0.0	394.0
2023-04-06	0.0	0.0	394.0
2023-04-11	0.0	0.0	394.0
2023-04-12	-0.3	-306.0	88.0
2023-04-13	0.0	0.0	88.0
2023-04-14	0.0	0.0	88.0
2023-04-18	0.0	0.0	88.0
2023-04-19	-0.3	-306.0	-218.0
2023-04-20	-0.3	-306.0	-524.0
2023-04-21	0.0	0.0	-524.0
2023-04-25	0.0	0.0	-524.0
2023-04-26	-0.3	-306.0	-830.0
2023-04-27	0.0	0.0	-830.0
2023-04-28	0.4	394.0	-436.0
2023-05-02	0.0	0.0	-436.0
2023-05-03	0.4	394.0	-42.0
2023-05-04	0.4	394.0	352.0
2023-05-05	0.0	0.0	352.0
2023-05-09	0.0	0.0	352.0
2023-05-10	0.0	0.0	352.0
2023-05-11	-0.15	-156.0	196.0
2023-05-12	0.0	0.0	196.0
2023-05-16	0.0	0.0	196.0
2023-05-17	0.0	0.0	196.0
2023-05-18	0.16	154.0	350.0
2023-05-19	0.0	0.0	350.0
2023-05-23	0.0	0.0	350.0
2023-05-24	0.0	0.0	350.0
2023-05-25	0.0	0.0	350.0
2023-05-26	0.0	0.0	350.0
2023-05-30	0.0	0.0	350.0
2023-05-31	0.0	0.0	350.0
2023-06-01	0.0	0.0	350.0
2023-06-02	0.0	0.0	350.0
2023-06-06	0.0	0.0	350.0
2023-06-07	0.0	0.0	350.0
2023-06-08	0.0	0.0	350.0
2023-06-09	0.0	0.0	350.0
2023-06-13	0.0	0.0	350.0
2023-06-14	0.0	0.0	350.0
2023-06-15	0.0	0.0	350.0
2023-06-16	0.0	0.0	350.0
2023-06-20	0.0	0.0	350.0
2023-06-21	0.0	0.0	350.0
2023-06-22	0.0	0.0	350.0
2023-06-23	-0.3	-306.0	44.0
2023-06-27	0.0	0.0	44.0
2023-06-28	0.0	0.0	44.0
2023-06-29	0.0	0.0	44.0
2023-06-30	-0.3	-306.0	-262.0
2023-07-04	0.0	0.0	-262.0
2023-07-05	-0.3	-306.0	-568.0
2023-07-06	0.0	0.0	-568.0
2023-07-07	0.0	0.0	-568.0
2023-07-11	0.0	0.0	-568.0
2023-07-12	0.0	0.0	-568.0
2023-07-13	0.0	0.0	-568.0
2023-07-14	0.0	0.0	-568.0
2023-07-18	0.0	0.0	-568.0
2023-07-19	0.0	0.0	-568.0
2023-07-20	0.0	0.0	-568.0
2023-07-21	0.16	154.0	-414.0
2023-07-25	0.0	0.0	-414.0
2023-07-26	0.0	0.0	-414.0
2023-07-27	0.0	0.0	-414.0
2023-07-28	-0.3	-306.0	-720.0
2023-08-01	0.0	0.0	-720.0
2023-08-02	0.0	0.0	-720.0
2023-08-03	0.4	394.0	-326.0
2023-08-04	0.0	0.0	-326.0
2023-08-08	0.0	0.0	-326.0
2023-08-09	0.0	0.0	-326.0
2023-08-10	0.0	0.0	-326.0
2023-08-11	0.0	0.0	-326.0
2023-08-15	0.0	0.0	-326.0
2023-08-16	0.0	0.0	-326.0
2023-08-17	0.0	0.0	-326.0
2023-08-18	-0.04	-46.0	-372.0
2023-08-22	0.0	0.0	-372.0
2023-08-23	0.4	394.0	22.0
2023-08-24	0.0	0.0	22.0
2023-08-25	0.0	0.0	22.0
2023-08-29	0.0	0.0	22.0
2023-08-30	0.0	0.0	22.0
2023-08-31	0.03	24.0	46.0
2023-09-01	-0.3	-306.0	-260.0
2023-09-05	0.0	0.0	-260.0
