Data	PnL_Lordo	PnL_Netto_Euro	Cumulata_Euro
2023-03-28	0.0	0.0	0.0
2023-03-29	0.0	0.0	0.0
2023-03-30	0.2	174.0	174.0
2023-03-31	0.2	174.0	348.0
2023-04-04	0.0	0.0	348.0
2023-04-05	0.0	0.0	348.0
2023-04-06	0.2	174.0	522.0
2023-04-11	0.0	0.0	522.0
2023-04-12	-0.2	-226.0	296.0
2023-04-13	0.2	174.0	470.0
2023-04-14	0.2	174.0	644.0
2023-04-18	0.0	0.0	644.0
2023-04-19	-0.2	-226.0	418.0
2023-04-20	-0.2	-226.0	192.0
2023-04-21	0.0	0.0	192.0
2023-04-25	0.0	0.0	192.0
2023-04-26	-0.2	-226.0	-34.0
2023-04-27	0.0	0.0	-34.0
2023-04-28	-0.2	-226.0	-260.0
2023-05-02	0.0	0.0	-260.0
2023-05-03	0.2	174.0	-86.0
2023-05-04	0.2	174.0	88.0
2023-05-05	-0.2	-226.0	-138.0
2023-05-09	0.0	0.0	-138.0
2023-05-10	0.0	0.0	-138.0
2023-05-11	-0.2	-226.0	-364.0
2023-05-12	0.0	0.0	-364.0
2023-05-16	0.0	0.0	-364.0
2023-05-17	0.0	0.0	-364.0
2023-05-18	0.165	139.0	-225.0
2023-05-19	0.2	174.0	-51.0
2023-05-23	0.0	0.0	-51.0
2023-05-24	0.0	0.0	-51.0
2023-05-25	0.0	0.0	-51.0
2023-05-26	0.2	174.0	123.0
2023-05-30	0.2	174.0	297.0
2023-05-31	0.2	174.0	471.0
2023-06-01	0.2	174.0	645.0
2023-06-02	0.2	174.0	819.0
2023-06-06	0.0	0.0	819.0
2023-06-07	0.0	0.0	819.0
2023-06-08	0.2	174.0	993.0
2023-06-09	0.0	0.0	993.0
2023-06-13	0.0	0.0	993.0
2023-06-14	0.0	0.0	993.0
2023-06-15	0.0	0.0	993.0
2023-06-16	0.0	0.0	993.0
2023-06-20	0.0	0.0	993.0
2023-06-21	0.0	0.0	993.0
2023-06-22	0.0	0.0	993.0
2023-06-23	-0.2	-226.0	767.0
2023-06-27	0.0	0.0	767.0
2023-06-28	0.0	0.0	767.0
2023-06-29	0.0	0.0	767.0
2023-06-30	-0.2	-226.0	541.0
2023-07-04	0.2	174.0	715.0
2023-07-05	0.2	174.0	889.0
2023-07-06	0.2	174.0	1063.0
2023-07-07	0.2	174.0	1237.0
2023-07-11	0.0	0.0	1237.0
2023-07-12	0.0	0.0	1237.0
2023-07-13	0.2	174.0	1411.0
2023-07-14	0.2	174.0	1585.0
2023-07-18	0.2	174.0	1759.0
2023-07-19	0.2	174.0	1933.0
2023-07-20	0.2	174.0	2107.0
2023-07-21	0.2	174.0	2281.0
2023-07-25	0.0	0.0	2281.0
2023-07-26	0.0	0.0	2281.0
2023-07-27	0.0	0.0	2281.0
2023-07-28	0.2	174.0	2455.0
2023-08-01	0.0	0.0	2455.0
2023-08-02	0.0	0.0	2455.0
2023-08-03	0.2	174.0	2629.0
2023-08-04	0.2	174.0	2803.0
2023-08-08	0.0	0.0	2803.0
2023-08-09	-0.2	-226.0	2577.0
2023-08-10	0.0	0.0	2577.0
2023-08-11	0.0	0.0	2577.0
2023-08-15	0.2	174.0	2751.0
2023-08-16	0.2	174.0	2925.0
2023-08-17	0.2	174.0	3099.0
2023-08-18	-0.2	-226.0	2873.0
2023-08-22	0.0	0.0	2873.0
2023-08-23	0.2	174.0	3047.0
2023-08-24	0.2	174.0	3221.0
2023-08-25	0.2	174.0	3395.0
2023-08-29	0.0	0.0	3395.0
2023-08-30	0.0	0.0	3395.0
2023-08-31	-0.2	-226.0	3169.0
2023-09-01	-0.2	-226.0	2943.0
2023-09-05	0.0	0.0	2943.0
