Datetime	open	high	low	close	Range_Settimanale	Media_Range_2W	Pivot_Prec	Max_Stimato	Min_Stimato	Analisi_Esito	Scostamento_High	Scostamento_Low
2023-04-03	115.54	116.06	114.04	115.5	2.02	1.995	115.67	116.6675	114.6725	BREAKOUT RIBASSISTA	-0.608	-0.632
2023-04-10	115.42	116.96	114.59	116.4	2.37	2.515	115.2	116.4575	113.9425	BREAKOUT RIALZISTA	0.502	0.647
2023-04-17	115.35	115.9	113.44	113.74	2.46	2.195	115.9833	117.0808	114.8858	BREAKOUT RIBASSISTA	-1.181	-1.446
2023-04-24	113.67	114.3	112.93	112.95	1.37	2.415	114.36	115.5675	113.1525	BREAKOUT RIBASSISTA	-1.267	-0.222
2023-05-01	113.37	115.09	113.02	115.03	2.07	1.915	113.3933	114.3508	112.4358	BREAKOUT RIALZISTA	0.739	0.584
2023-05-08	113.95	115.82	113.7	114.44	2.12	1.72	114.38	115.24	113.52	BREAKOUT RIALZISTA	0.58	0.18
2023-05-15	114.44	115.89	113.91	114.9	1.98	2.095	114.6533	115.7008	113.6058	BREAKOUT RIALZISTA	0.189	0.304
2023-05-22	115.22	115.48	113.48	113.88	2.0	2.05	114.9	115.925	113.875	BREAKOUT RIBASSISTA	-0.445	-0.395
2023-05-29	113.84	114.25	112.6	114.14	1.65	1.99	114.28	115.275	113.285	BREAKOUT RIBASSISTA	-1.025	-0.685
2023-06-05	114.23	117.0	114.07	116.01	2.93	1.825	113.6633	114.5758	112.7508	BREAKOUT RIALZISTA	2.424	1.319
2023-06-12	115.39	116.86	113.89	116.4	2.97	2.29	115.6933	116.8383	114.5483	VOLATILITÀ ESPLOSIVA (Rotti entrambi)	0.022	-0.658
2023-06-19	116.48	117.07	114.61	115.77	2.46	2.95	115.7167	117.1917	114.2417	DENTRO IL RANGE (Stima Corretta)	-0.122	0.368
2023-06-26	115.94	117.29	115.54	116.96	1.75	2.715	115.8167	117.1742	114.4592	BREAKOUT RIALZISTA	0.116	1.081
